feature,coefficient,abs_coefficient
age,1.8131107438232317,1.8131107438232317
work_type_children,-0.7971695704478131,0.7971695704478131
work_type_Private,0.3101835033920927,0.3101835033920927
work_type_Self-employed,0.27201040091331113,0.27201040091331113
avg_glucose_level,0.20104981394031518,0.20104981394031518
ever_married_Yes,0.17835213969750308,0.17835213969750308
smoking_status_never smoked,-0.1609211407419373,0.1609211407419373
heart_disease,0.1453906911972201,0.1453906911972201
bmi,-0.12066642931519501,0.12066642931519501
hypertension,0.09109585802174196,0.09109585802174196
Residence_type_Urban,0.06924761559828294,0.06924761559828294
gender_Male,0.05373594089948507,0.05373594089948507
